Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2022-01-11,332.05047607421875,332.30868215646444,323.02353688832784,324.51313141350875,16226800
2022-01-12,330.9482421875,334.0366541036262,327.7406372338682,332.85490650522934,14104900
2022-01-13,324.2153015136719,333.3018242108338,323.50029475979665,332.6563391580305,14797100
2022-01-14,329.5976257324219,330.4218850489652,318.9817791263499,319.55777267625143,16868500
2022-01-18,315.9430236816406,321.9609837284619,315.4365821014618,321.04738263480675,22645600
2022-01-19,317.3730163574219,324.8309295571521,317.1148102666669,317.3630760290454,20814700
2022-01-20,314.36407470703125,325.54597570040505,313.78811140295323,321.65315473896703,16925000
2022-01-21,301.0669860839844,316.10194729304766,300.93788301801146,312.62622606527816,28710700
2022-01-24,306.5685119628906,307.38283100711567,287.00518638419567,295.77392053287866,38878100
2022-01-25,298.06793212890625,304.10577373520374,295.5157522712907,297.8693376599705,25108500
2022-01-26,292.5862121582031,305.3768708785876,288.83243451686275,304.8803392841993,28348800
2022-01-27,292.59613037109375,299.6170635525719,292.218761538942,295.68454210791685,21629900
2022-01-28,299.6170349121094,299.80571931014885,290.99725518246254,293.5692847644114,21871600
2022-01-31,311.0870056152344,311.6133279292589,297.2437013868694,298.5942528696925,21579500
2022-02-01,316.7871398925781,317.4425651980272,309.95486067855575,312.37793715110746,18023800
2022-02-02,320.7593688964844,325.7246842044795,314.67188747994163,325.54594012680275,58458300
2022-02-03,236.11068725585938,246.2796592879698,234.11463579491482,242.9528917001212,188119900
2022-02-04,235.4453582763672,240.92707156537676,228.51378115281858,233.3400690713389,89342200
2022-02-07,223.34982299804688,236.64693715449368,222.45605712612533,236.05109323987932,88613800
2022-02-08,218.65264892578125,224.20388375091662,214.6506054269495,219.31801460687512,94729700
2022-02-09,230.39064025878906,231.75113186310045,220.66855913240377,222.64474501260375,86563300
2022-02-10,226.4879150390625,233.36983524763434,225.12740824872546,226.686524634217,49310400
2022-02-11,218.0270233154297,228.82161518931338,217.2524352504062,226.87521985005384,46156900
2022-02-14,216.18984985351562,219.46696135685332,213.2901072050722,217.78868216906557,38184000
2022-02-15,219.46693420410156,219.61588760053033,213.56813725848932,218.94061199946717,42685500
2022-02-16,215.0378875732422,215.95151900472374,210.8868908846818,210.93654707270989,45817500
2022-02-17,206.26914978027344,215.99123117362203,205.72296202717726,212.5353757176675,38747500
2022-02-18,204.72988891601562,209.28804483223993,203.75667618414028,207.9374784326616,37128400
2022-02-22,200.67820739746094,206.04074245924153,198.67221554938297,200.93639836684068,39852400
2022-02-23,197.0733642578125,205.50447522195893,196.67614508887834,202.74376108492856,44481400
2022-02-24,206.159912109375,206.90470945781502,188.90047003925045,189.73463943279745,49957200
2022-02-25,209.01992797851562,209.8541125423845,201.77056393873042,203.5183647840356,37627600
2022-02-28,209.56613159179688,211.67142078419803,205.3952690687819,206.23936372000767,34239800
2022-03-01,202.07843017578125,210.28112651537154,200.81723570545105,208.41416290445198,27094900
2022-03-02,206.66635131835938,207.69913021995131,200.61860099880352,203.3594495534795,29452100
2022-03-03,201.56204223632812,207.62965909439046,200.0227912203855,207.57007772587977,27263500
2022-03-04,198.67222595214844,204.46178636010308,197.411031416221,200.96619957261413,32130900
2022-03-07,186.16954040527344,199.49644537718342,185.98085599196915,199.39713300609475,38560600
2022-03-08,188.969970703125,195.33550881323646,184.81897421696758,186.54690946667915,37508100
2022-03-09,197.123046875,197.71889086123977,192.5748155619996,194.38219787476945,31894700
2022-03-10,193.85585021972656,194.91841983418425,189.74456968088708,193.4884065766853,24853000
2022-03-11,186.30856323242188,192.2172854703511,185.3750815218328,191.303669263992,34694500
2022-03-14,185.33538818359375,190.95611432836714,184.53100942336172,185.73260739881346,31010500
